sorting	itemID	organismID	materialSampleID	institutionCode	collectionCode	fullCatalogNumber	catalogNumber	rightsHolder	coremaBasisOfRecord	informationWithheld	recordedBy	sex	lifeStage	preparations	disposition	eventDate	country	stateProvince	county	locality	minimumElevationInMeters	decimalLatitude	decimalLongitude	identificationRemarks	identifiedBy	dateIdentified	typeStatus	scientificName	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	species	scientificNameAuthorship	preservationType	preparationType	preparationMaterials	preparedBy	preparationDate	geneticAccessionNumber	BOLDProcessID	materialSampleType	concentration	concentrationUnit	associatedMedia
18	urn:uuid:864b0474-6e85-4a14-a4f0-f95e00f9cde4	urn:uuid:5f2f7efd-16e9-587f-b0a1-70fb5fa30a7b	urn:uuid:864b0474-6e85-4a14-a4f0-f95e00f9cde4	NHMO	DMA	NHMO-DMA-32335/1-P	32335	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Anonymous			Organs, internal	Existing	1882-08	Norway	Finnmark	Nordkapp						Anonymous			Balaenoptera borealis Lesson, 1828	Cetacea	Balaenopteridae	Balaenoptera	borealis		species	Balaenoptera borealis	Lesson, 1828	Ethanol, 70-80%	Organs, internal						Specimen			
19	urn:uuid:1b478613-5f52-4875-87e3-89e0faf78e88	urn:uuid:646c3be7-ad85-58f4-bb5e-bd8a8c132db2	urn:uuid:1b478613-5f52-4875-87e3-89e0faf78e88	NHMO	DMA	NHMO-DMA-30063/1-O	30063	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Anonymous			Skeleton	Existing	1885-11-27	Norway	Finnmark	Vardø						Anonymous			Balaenoptera borealis Lesson, 1828	Cetacea	Balaenopteridae	Balaenoptera	borealis		species	Balaenoptera borealis	Lesson, 1828	Dry	Skeleton						Specimen			
39	urn:uuid:daff6978-c2a4-42ec-b59c-d7c1a1f17522	urn:uuid:ae3e4360-b61a-5db9-b49a-e71d73e1478e	urn:uuid:daff6978-c2a4-42ec-b59c-d7c1a1f17522	NHMO	DMA	NHMO-DMA-30062/1-P	30062	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Bull (Captain), M.		Foetus	Preserved specimen	Existing	1885-12									Anonymous	1885-12		Balaenoptera borealis Lesson, 1828	Cetacea	Balaenopteridae	Balaenoptera	borealis		species	Balaenoptera borealis	Lesson, 1828	Ethanol, 70-80%	PreservedSpecimen						Specimen			
51	urn:uuid:543631e9-c30c-4e75-9869-c958dc9df4bd	urn:uuid:d9bf4835-505a-5b62-bc7d-32ba1a53088c	urn:uuid:543631e9-c30c-4e75-9869-c958dc9df4bd	NHMO	DMA	NHMO-DMA-29313/1-O	29313	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Anonymous			Skeleton partial	Existing	1900-01									Anonymous			Balaenoptera borealis Lesson, 1828	Cetacea	Balaenopteridae	Balaenoptera	borealis		species	Balaenoptera borealis	Lesson, 1828	Dry	Skeleton partial						Specimen			
52	urn:uuid:1c91ac84-4bce-4398-9aaa-b4aead6d527e	urn:uuid:e6ae4068-ed7b-5e95-8cd4-0fdc620ddc43	urn:uuid:1c91ac84-4bce-4398-9aaa-b4aead6d527e	NHMO	DMA	NHMO-DMA-25188/1-O	25188	Natural History Museum, University of Oslo, Norway	PreservedSpecimen	location	Bull, Johs.			Skeleton	Existing	1895	Norway	Finnmark	Gamvik						Anonymous			Balaenoptera borealis Lesson, 1828	Cetacea	Balaenopteridae	Balaenoptera	borealis		species	Balaenoptera borealis	Lesson, 1828	Dry	Skeleton						Specimen			
13	urn:uuid:73c503ab-3506-4800-9702-cad77cc1f13e	urn:uuid:4ce69897-6ef3-5c51-a206-b0c858dd4030	urn:uuid:73c503ab-3506-4800-9702-cad77cc1f13e	NHMO	DMA	NHMO-DMA-32675/1-O | NHMO-DMA-32675/2-P | NHMO-DMA-32675/3-O | NHMO-DMA-32675/4-P	32675	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous			Skull (cranium and mandibles)	Existing	1890									Anonymous			Desmana moschata Linnaeus, 1758	Soricomorpha	Talpidae	Desmana	moschata		species	Desmana moschata	Linnaeus, 1758	Dry | Dry | Dry | Dry	Skull (cranium and mandibles) | Mounted | Skull (cranium and mandibles) | Mounted	 |  |  | 	 |  |  | 	 |  |  | 	 |  |  | 	 |  |  | 	Specimen | Specimen | Specimen | Specimen	 |  |  | 	 |  |  | 	
22	urn:uuid:48eca547-c6b9-40fa-8498-4f0b7b159475	urn:uuid:685697da-17a9-56b9-933a-44b04f31a561	urn:uuid:48eca547-c6b9-40fa-8498-4f0b7b159475	NHMO	DMA	NHMO-DMA-31193/1-P | NHMO-DMA-31193/2-P | NHMO-DMA-31193/3-P | NHMO-DMA-31193/4-P	31193	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous			Study skin	Existing	1861	Spain			N. Spania					Anonymous			Galemys pyrenaicus E.Geoffroy St.Hilaire, 1811	Soricomorpha	Talpidae	Galemys	pyrenaicus		species	Galemys pyrenaicus	E.Geoffroy St.Hilaire, 1811	Dry | Dry | Dry | Dry	Study skin | Mounted | Study skin | Mounted	 |  |  | 	 |  |  | 	 |  |  | 	 |  |  | 	 |  |  | 	Specimen | Specimen | Specimen | Specimen	 |  |  | 	 |  |  | 	
5	urn:uuid:93679dcc-286e-4627-905e-a12a92672a1e	urn:uuid:125a39a7-f5b0-5f9c-8079-3862a2e8718c	urn:uuid:93679dcc-286e-4627-905e-a12a92672a1e	NHMO	DMA	NHMO-DMA-31773/1-O	31773	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous			Skull (cranium and mandibles)	Existing	1863									Anonymous			Genetta genetta Linnaeus, 1758	Carnivora	Viverridae	Genetta	genetta		species	Genetta genetta	Linnaeus, 1758	Dry	Skull (cranium and mandibles)						Specimen			
26	urn:uuid:2c6f27c7-48f9-4238-b8a1-c747b05ce86c	urn:uuid:6fad5db5-52fb-5617-871f-80f00bf8c7c6	urn:uuid:2c6f27c7-48f9-4238-b8a1-c747b05ce86c	NHMO	DMA	NHMO-DMA-31772/1-O	31772	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous			Skull (cranium and mandibles)	Existing	1863									Anonymous			Genetta genetta Linnaeus, 1758	Carnivora	Viverridae	Genetta	genetta		species	Genetta genetta	Linnaeus, 1758	Dry	Skull (cranium and mandibles)						Specimen			
56	urn:uuid:ce8e1e57-a43c-413a-a682-a2cc48901b8d	urn:uuid:fc600c90-c486-5cab-a080-d0636aa87ede	urn:uuid:ce8e1e57-a43c-413a-a682-a2cc48901b8d	NHMO	DMA	NHMO-DMA-25337/1-P | NHMO-DMA-25337/2-P	25337	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous			Mounted	Existing	1886-01-09	Europe (continent)			Sør-Europa					Anonymous			Genetta genetta Linnaeus, 1758	Carnivora	Viverridae	Genetta	genetta		species	Genetta genetta	Linnaeus, 1758	Dry | Dry	Mounted | Mounted	 | 	 | 	 | 	 | 	 | 	Specimen | Specimen	 | 	 | 	
3	urn:uuid:2a6eb249-7c9a-47fb-ac3f-8d3df3018750	urn:uuid:0a9477ae-944c-52ca-9133-dd63ed945d1c	urn:uuid:2a6eb249-7c9a-47fb-ac3f-8d3df3018750	NHMO	DMA	NHMO-DMA-25344/1-P	25344	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous			Mounted	Existing	1900-01	South Africa			Ichneumon					Anonymous			Herpestes ichneumon Linnaeus, 1758	Carnivora	Herpestidae	Herpestes	ichneumon		species	Herpestes ichneumon	Linnaeus, 1758	Dry	Mounted						Specimen			
9	urn:uuid:1bfce518-e5ec-43db-a133-c6a4729bcc55	urn:uuid:3791b933-f5c9-5aeb-b7df-ef755ba42dc8	urn:uuid:1bfce518-e5ec-43db-a133-c6a4729bcc55	NHMO	DMA	NHMO-DMA-27432/1-O | NHMO-DMA-27432/2-O	27432	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous	Male	Juvenile	Skeleton	Existing	1900-01									Anonymous			Herpestes ichneumon Linnaeus, 1758	Carnivora	Herpestidae	Herpestes	ichneumon		species	Herpestes ichneumon	Linnaeus, 1758	Dry | Dry	Skeleton | Skeleton	 | 	 | 	 | 	 | 	 | 	Specimen | Specimen	 | 	 | 	
38	urn:uuid:80cf7de0-4b1b-45e0-a775-f063d797f5a0	urn:uuid:ac80c2f7-f5ba-564b-9fe3-b00802231f91	urn:uuid:80cf7de0-4b1b-45e0-a775-f063d797f5a0	NHMO	DMA	NHMO-DMA-30644/1-O	30644	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous			Skull (cranium and mandibles)	Existing	1839									Anonymous			Herpestes ichneumon Linnaeus, 1758	Carnivora	Herpestidae	Herpestes	ichneumon		species	Herpestes ichneumon	Linnaeus, 1758	Dry	Skull (cranium and mandibles)						Specimen			
42	urn:uuid:28462102-047c-4619-a736-d619c0317b7e	urn:uuid:b8edd1a5-3d34-5c6a-9d23-7ef5464a06b6	urn:uuid:28462102-047c-4619-a736-d619c0317b7e	NHMO	DMA	NHMO-DMA-28119/1-O	28119	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous			Skeleton	Existing	1900-01									Anonymous			Herpestes ichneumon Linnaeus, 1758	Carnivora	Herpestidae	Herpestes	ichneumon		species	Herpestes ichneumon	Linnaeus, 1758	Dry	Skeleton						Specimen			
10	urn:uuid:ba3f543d-823f-4e60-b41b-e809f6c9678f	urn:uuid:39f9d58b-e396-578d-9129-ed2e737a36a2	urn:uuid:ba3f543d-823f-4e60-b41b-e809f6c9678f	NHMO	DMA	NHMO-DMA-30786/1-O | NHMO-DMA-30786/2-P	30786	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous			Skull (cranium and mandibles)	Existing	1899	Australia			South Australia					Anonymous			Macropus rufus Desmarest, 1822	Diprotodontia	Macropodidae	Macropus	rufus		species	Macropus rufus	Desmarest, 1822	Dry | Dry	Skull (cranium and mandibles) | Study skin	 | 	 | 	 | 	 | 	 | 	Specimen | Specimen	 | 	 | 	
12	urn:uuid:7ede168e-5810-4dfd-92c3-273109314fd2	urn:uuid:47b9bf14-8d11-5f4a-b239-ac37a4e2b3cd	urn:uuid:7ede168e-5810-4dfd-92c3-273109314fd2	NHMO	DMA	NHMO-DMA-31983/1-P	31983	Natural History Museum, University of Oslo, Norway	PreservedSpecimen		Anonymous			Study skin	Existing	1900	Europe (continent)			SØ Europa					Anonymous			Marmota bobak Müller, 1776	Rodentia	Sciuridae	Marmota	bobak		species	Marmota bobak	Müller, 1776	Dry	Study skin						Specimen			
